[2024-12-06T00:00:57.801+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T00:00:57.810+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [queued]>
[2024-12-06T00:00:57.815+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [queued]>
[2024-12-06T00:00:57.815+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-06T00:00:57.822+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_la_otra_schedule> on 2024-12-06 00:00:57.124579+00:00
[2024-12-06T00:00:57.826+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=126) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T00:00:57.827+0000] {standard_task_runner.py:72} INFO - Started process 127 to run task
[2024-12-06T00:00:57.827+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'la_otra_schedule_scraper', 'scrape_la_otra_schedule', 'manual__2024-12-06T00:00:57.124579+00:00', '--job-id', '619', '--raw', '--subdir', 'DAGS_FOLDER/dag_la_otra.py', '--cfg-path', '/tmp/tmptlaw4y15']
[2024-12-06T00:00:57.828+0000] {standard_task_runner.py:105} INFO - Job 619: Subtask scrape_la_otra_schedule
[2024-12-06T00:00:57.853+0000] {task_command.py:467} INFO - Running <TaskInstance: la_otra_schedule_scraper.scrape_la_otra_schedule manual__2024-12-06T00:00:57.124579+00:00 [running]> on host d88abb179e8d
[2024-12-06T00:00:57.892+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='la_otra_schedule_scraper' AIRFLOW_CTX_TASK_ID='scrape_la_otra_schedule' AIRFLOW_CTX_EXECUTION_DATE='2024-12-06T00:00:57.124579+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-06T00:00:57.124579+00:00'
[2024-12-06T00:00:57.893+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-06T00:00:58.209+0000] {logging_mixin.py:190} INFO - 20241204094400 +0100
[2024-12-06T00:00:58.209+0000] {logging_mixin.py:190} INFO - 20241204094400 +0100
[2024-12-06T00:00:58.209+0000] {logging_mixin.py:190} INFO - 20241204103000 +0100
[2024-12-06T00:00:58.209+0000] {logging_mixin.py:190} INFO - 20241204103000 +0100
[2024-12-06T00:00:58.209+0000] {logging_mixin.py:190} INFO - 20241204113000 +0100
[2024-12-06T00:00:58.210+0000] {logging_mixin.py:190} INFO - 20241204113000 +0100
[2024-12-06T00:00:58.210+0000] {logging_mixin.py:190} INFO - 20241204123100 +0100
[2024-12-06T00:00:58.210+0000] {logging_mixin.py:190} INFO - 20241204123100 +0100
[2024-12-06T00:00:58.210+0000] {logging_mixin.py:190} INFO - 20241204132600 +0100
[2024-12-06T00:00:58.210+0000] {logging_mixin.py:190} INFO - 20241204132600 +0100
[2024-12-06T00:00:58.211+0000] {logging_mixin.py:190} INFO - 20241204135400 +0100
[2024-12-06T00:00:58.211+0000] {logging_mixin.py:190} INFO - 20241204135400 +0100
[2024-12-06T00:00:58.211+0000] {logging_mixin.py:190} INFO - 20241204140000 +0100
[2024-12-06T00:00:58.211+0000] {logging_mixin.py:190} INFO - 20241204140000 +0100
[2024-12-06T00:00:58.211+0000] {logging_mixin.py:190} INFO - 20241204145500 +0100
[2024-12-06T00:00:58.211+0000] {logging_mixin.py:190} INFO - 20241204145500 +0100
[2024-12-06T00:00:58.212+0000] {logging_mixin.py:190} INFO - 20241204152100 +0100
[2024-12-06T00:00:58.212+0000] {logging_mixin.py:190} INFO - 20241204152100 +0100
[2024-12-06T00:00:58.212+0000] {logging_mixin.py:190} INFO - 20241204152900 +0100
[2024-12-06T00:00:58.212+0000] {logging_mixin.py:190} INFO - 20241204152900 +0100
[2024-12-06T00:00:58.212+0000] {logging_mixin.py:190} INFO - 20241204161300 +0100
[2024-12-06T00:00:58.213+0000] {logging_mixin.py:190} INFO - 20241204161300 +0100
[2024-12-06T00:00:58.213+0000] {logging_mixin.py:190} INFO - 20241204170500 +0100
[2024-12-06T00:00:58.213+0000] {logging_mixin.py:190} INFO - 20241204170500 +0100
[2024-12-06T00:00:58.213+0000] {logging_mixin.py:190} INFO - 20241204173800 +0100
[2024-12-06T00:00:58.213+0000] {logging_mixin.py:190} INFO - 20241204173800 +0100
[2024-12-06T00:00:58.213+0000] {logging_mixin.py:190} INFO - 20241204182700 +0100
[2024-12-06T00:00:58.214+0000] {logging_mixin.py:190} INFO - 20241204182700 +0100
[2024-12-06T00:00:58.214+0000] {logging_mixin.py:190} INFO - 20241204192600 +0100
[2024-12-06T00:00:58.214+0000] {logging_mixin.py:190} INFO - 20241204192600 +0100
[2024-12-06T00:00:58.214+0000] {logging_mixin.py:190} INFO - 20241204201900 +0100
[2024-12-06T00:00:58.215+0000] {logging_mixin.py:190} INFO - 20241204201900 +0100
[2024-12-06T00:00:58.215+0000] {logging_mixin.py:190} INFO - 20241204203000 +0100
[2024-12-06T00:00:58.215+0000] {logging_mixin.py:190} INFO - 20241204203000 +0100
[2024-12-06T00:00:58.215+0000] {logging_mixin.py:190} INFO - 20241204211600 +0100
[2024-12-06T00:00:58.216+0000] {logging_mixin.py:190} INFO - 20241204211600 +0100
[2024-12-06T00:00:58.216+0000] {logging_mixin.py:190} INFO - 20241204212900 +0100
[2024-12-06T00:00:58.216+0000] {logging_mixin.py:190} INFO - 20241204212900 +0100
[2024-12-06T00:00:58.216+0000] {logging_mixin.py:190} INFO - 20241204213600 +0100
[2024-12-06T00:00:58.216+0000] {logging_mixin.py:190} INFO - 20241204213600 +0100
[2024-12-06T00:00:58.217+0000] {logging_mixin.py:190} INFO - 20241204221100 +0100
[2024-12-06T00:00:58.217+0000] {logging_mixin.py:190} INFO - 20241204221100 +0100
[2024-12-06T00:00:58.217+0000] {logging_mixin.py:190} INFO - 20241205003000 +0100
[2024-12-06T00:00:58.217+0000] {logging_mixin.py:190} INFO - 20241205003000 +0100
[2024-12-06T00:00:58.217+0000] {logging_mixin.py:190} INFO - 20241205024300 +0100
[2024-12-06T00:00:58.218+0000] {logging_mixin.py:190} INFO - 20241205024300 +0100
[2024-12-06T00:00:58.218+0000] {logging_mixin.py:190} INFO - 20241205042400 +0100
[2024-12-06T00:00:58.218+0000] {logging_mixin.py:190} INFO - 20241205042400 +0100
[2024-12-06T00:00:58.218+0000] {logging_mixin.py:190} INFO - 20241205045300 +0100
[2024-12-06T00:00:58.218+0000] {logging_mixin.py:190} INFO - 20241205045300 +0100
[2024-12-06T00:00:58.218+0000] {logging_mixin.py:190} INFO - 20241205055700 +0100
[2024-12-06T00:00:58.219+0000] {logging_mixin.py:190} INFO - 20241205055700 +0100
[2024-12-06T00:00:58.219+0000] {logging_mixin.py:190} INFO - 20241205063000 +0100
[2024-12-06T00:00:58.220+0000] {logging_mixin.py:190} INFO - 20241205063000 +0100
[2024-12-06T00:00:58.220+0000] {logging_mixin.py:190} INFO - 20241205064300 +0100
[2024-12-06T00:00:58.220+0000] {logging_mixin.py:190} INFO - 20241205064300 +0100
[2024-12-06T00:00:58.220+0000] {logging_mixin.py:190} INFO - 20241205071200 +0100
[2024-12-06T00:00:58.220+0000] {logging_mixin.py:190} INFO - 20241205071200 +0100
[2024-12-06T00:00:58.220+0000] {logging_mixin.py:190} INFO - 20241205073900 +0100
[2024-12-06T00:00:58.221+0000] {logging_mixin.py:190} INFO - 20241205073900 +0100
[2024-12-06T00:00:58.221+0000] {logging_mixin.py:190} INFO - 20241205080500 +0100
[2024-12-06T00:00:58.221+0000] {logging_mixin.py:190} INFO - 20241205080500 +0100
[2024-12-06T00:00:58.221+0000] {logging_mixin.py:190} INFO - 20241205083400 +0100
[2024-12-06T00:00:58.221+0000] {logging_mixin.py:190} INFO - 20241205083400 +0100
[2024-12-06T00:00:58.222+0000] {logging_mixin.py:190} INFO - 20241205091300 +0100
[2024-12-06T00:00:58.222+0000] {logging_mixin.py:190} INFO - 20241205091300 +0100
[2024-12-06T00:00:58.222+0000] {logging_mixin.py:190} INFO - 20241205094500 +0100
[2024-12-06T00:00:58.222+0000] {logging_mixin.py:190} INFO - 20241205094500 +0100
[2024-12-06T00:00:58.223+0000] {logging_mixin.py:190} INFO - 20241205103000 +0100
[2024-12-06T00:00:58.223+0000] {logging_mixin.py:190} INFO - 20241205103000 +0100
[2024-12-06T00:00:58.223+0000] {logging_mixin.py:190} INFO - 20241205113000 +0100
[2024-12-06T00:00:58.224+0000] {logging_mixin.py:190} INFO - 20241205113000 +0100
[2024-12-06T00:00:58.224+0000] {logging_mixin.py:190} INFO - 20241205123400 +0100
[2024-12-06T00:00:58.224+0000] {logging_mixin.py:190} INFO - 20241205123400 +0100
[2024-12-06T00:00:58.224+0000] {logging_mixin.py:190} INFO - 20241205132700 +0100
[2024-12-06T00:00:58.225+0000] {logging_mixin.py:190} INFO - 20241205132700 +0100
[2024-12-06T00:00:58.225+0000] {logging_mixin.py:190} INFO - 20241205135500 +0100
[2024-12-06T00:00:58.225+0000] {logging_mixin.py:190} INFO - 20241205135500 +0100
[2024-12-06T00:00:58.225+0000] {logging_mixin.py:190} INFO - 20241205140000 +0100
[2024-12-06T00:00:58.225+0000] {logging_mixin.py:190} INFO - 20241205140000 +0100
[2024-12-06T00:00:58.225+0000] {logging_mixin.py:190} INFO - 20241205145500 +0100
[2024-12-06T00:00:58.226+0000] {logging_mixin.py:190} INFO - 20241205145500 +0100
[2024-12-06T00:00:58.226+0000] {logging_mixin.py:190} INFO - 20241205152100 +0100
[2024-12-06T00:00:58.226+0000] {logging_mixin.py:190} INFO - 20241205152100 +0100
[2024-12-06T00:00:58.226+0000] {logging_mixin.py:190} INFO - 20241205152900 +0100
[2024-12-06T00:00:58.226+0000] {logging_mixin.py:190} INFO - 20241205152900 +0100
[2024-12-06T00:00:58.227+0000] {logging_mixin.py:190} INFO - 20241205161300 +0100
[2024-12-06T00:00:58.227+0000] {logging_mixin.py:190} INFO - 20241205161300 +0100
[2024-12-06T00:00:58.227+0000] {logging_mixin.py:190} INFO - 20241205170500 +0100
[2024-12-06T00:00:58.227+0000] {logging_mixin.py:190} INFO - 20241205170500 +0100
[2024-12-06T00:00:58.227+0000] {logging_mixin.py:190} INFO - 20241205173600 +0100
[2024-12-06T00:00:58.228+0000] {logging_mixin.py:190} INFO - 20241205173600 +0100
[2024-12-06T00:00:58.228+0000] {logging_mixin.py:190} INFO - 20241205182500 +0100
[2024-12-06T00:00:58.228+0000] {logging_mixin.py:190} INFO - 20241205182500 +0100
[2024-12-06T00:00:58.228+0000] {logging_mixin.py:190} INFO - 20241205192300 +0100
[2024-12-06T00:00:58.228+0000] {logging_mixin.py:190} INFO - 20241205192300 +0100
[2024-12-06T00:00:58.229+0000] {logging_mixin.py:190} INFO - 20241205201700 +0100
[2024-12-06T00:00:58.229+0000] {logging_mixin.py:190} INFO - 20241205201700 +0100
[2024-12-06T00:00:58.229+0000] {logging_mixin.py:190} INFO - 20241205203000 +0100
[2024-12-06T00:00:58.229+0000] {logging_mixin.py:190} INFO - 20241205203000 +0100
[2024-12-06T00:00:58.230+0000] {logging_mixin.py:190} INFO - 20241205211600 +0100
[2024-12-06T00:00:58.230+0000] {logging_mixin.py:190} INFO - 20241205211600 +0100
[2024-12-06T00:00:58.230+0000] {logging_mixin.py:190} INFO - 20241205212900 +0100
[2024-12-06T00:00:58.230+0000] {logging_mixin.py:190} INFO - 20241205212900 +0100
[2024-12-06T00:00:58.231+0000] {logging_mixin.py:190} INFO - 20241205213600 +0100
[2024-12-06T00:00:58.231+0000] {logging_mixin.py:190} INFO - 20241205213600 +0100
[2024-12-06T00:00:58.231+0000] {logging_mixin.py:190} INFO - 20241205221100 +0100
[2024-12-06T00:00:58.231+0000] {logging_mixin.py:190} INFO - 20241205221100 +0100
[2024-12-06T00:00:58.232+0000] {logging_mixin.py:190} INFO - 20241205222700 +0100
[2024-12-06T00:00:58.232+0000] {logging_mixin.py:190} INFO - 20241205222700 +0100
[2024-12-06T00:00:58.232+0000] {logging_mixin.py:190} INFO - 20241205223800 +0100
[2024-12-06T00:00:58.233+0000] {logging_mixin.py:190} INFO - 20241205223800 +0100
[2024-12-06T00:00:58.233+0000] {logging_mixin.py:190} INFO - 20241206003400 +0100
[2024-12-06T00:00:58.233+0000] {logging_mixin.py:190} INFO - 20241206003400 +0100
[2024-12-06T00:00:58.233+0000] {logging_mixin.py:190} INFO - 20241206023000 +0100
[2024-12-06T00:00:58.233+0000] {logging_mixin.py:190} INFO - 20241206023000 +0100
[2024-12-06T00:00:58.234+0000] {logging_mixin.py:190} INFO - 20241206031200 +0100
[2024-12-06T00:00:58.234+0000] {logging_mixin.py:190} INFO - 20241206031200 +0100
[2024-12-06T00:00:58.234+0000] {logging_mixin.py:190} INFO - 20241206033400 +0100
